Lens_Category,Lens_Name,SPH_Lower,SPH_Upper,CYL_Lower,CYL_Upper,Diameter,Price,Availability
Night Drive,Drive plus 1.61 Night Drive (Made in korea),0.0,2.0,2.25,4.0,65,380,من القاهرة
Night Drive,Drive plus 1.61 Night Drive (Made in korea),0.25,1.75,-2.0,-0.5,65,350,متوفر لدينا
Night Drive,Drive plus 1.61 Night Drive (Made in korea),0.25,3.75,-4.0,-2.25,65,380,متوفر لدينا
Blue Cut,BLUE MAX 1.56 (GREEN & BLUE anti) (NEW) (made in korea),-4.0,0.0,-2.0,0.0,70,250,متوفر لدينا
Blue Cut,BLUE MAX 1.56 (GREEN & BLUE anti) (NEW) (made in korea),-2.0,0.0,-4.0,-2.25,70,350,متوفر لدينا
Blue Cut,BLUE MAX 1.56 (GREEN & BLUE anti) (NEW) (made in korea),0.0,4.0,0.0,2.0,65,250,متوفر لدينا
Blue Cut,BLUE MAX 1.56 (GREEN & BLUE anti) (NEW) (made in korea),4.25,6.0,0.0,2.0,65,320,من القاهرة
Blue Cut,BLUE MAX 1.56 (GREEN & BLUE anti) (NEW) (made in korea),0.0,2.0,2.25,4.0,65,350,متوفر لدينا
Blue Cut,BLUE MAX 1.56 (GREEN & BLUE anti) (NEW) (made in korea),0.25,1.75,-2.0,-0.5,65,270,متوفر لدينا
Blue Cut,BLUE MAX 1.56 (GREEN & BLUE anti) (NEW) (made in korea),0.25,2.0,-4.0,-2.25,65,350,متوفر لدينا
انتي,B.V 1.61 (Made in korea),-4.0,0.0,-2.0,0.0,70,160,متوفر لدينا
انتي,B.V 1.61 (Made in korea),-6.0,-4.25,-2.0,0.0,70,170,متوفر لدينا
انتي,B.V 1.61 (Made in korea),-8.0,-6.25,-2.0,0.0,70,180,متوفر لدينا
انتي,B.V 1.61 (Made in korea),-10.0,-8.25,-2.0,0.0,70,190,متوفر لدينا
انتي,B.V 1.61 (Made in korea),-4.0,0.0,-4.0,-2.25,70,220,متوفر لدينا
انتي,B.V 1.61 (Made in korea),-6.0,-4.25,-4.0,-2.25,70,230,متوفر لدينا
انتي,B.V 1.61 (Made in korea),-8.0,-6.25,-4.0,-2.25,70,340,متوفر لدينا
انتي,B.V 1.61 (Made in korea),-4.0,0.0,-6.0,-4.25,70,360,من القاهرة
انتي,B.V 1.61 (Made in korea),-6.0,-4.25,-6.0,-4.25,70,360,من القاهرة
انتي,B.V 1.61 (Made in korea),0.0,4.0,0.0,2.0,65,160,متوفر لدينا
انتي,B.V 1.61 (Made in korea),4.25,6.0,0.0,2.0,60,170,متوفر لدينا
انتي,B.V 1.61 (Made in korea),6.25,8.0,0.0,2.0,60,300,من القاهرة
انتي,B.V 1.61 (Made in korea),0.0,3.0,2.25,4.0,65,220,من القاهرة
انتي,B.V 1.61 (Made in korea),0.0,4.0,4.25,6.0,60,380,من القاهرة
انتي,B.V 1.61 (Made in korea),0.25,1.75,-2.0,-0.5,65,180,متوفر لدينا
انتي,B.V 1.61 (Made in korea),0.25,3.75,-4.0,-2.25,65,220,متوفر لدينا
انتي,B.V 1.61 (Made in korea),0.25,4.0,-6.0,-4.25,65,360,متوفر لدينا
انتي,B.V 1.61 (Made in korea),4.25,5.75,-6.0,-4.25,65,380,من القاهرة
انتي,1.67 (SHMC) (Made in korea),-6.0,-3.0,-2.0,0.0,70,360,من القاهرة
انتي,1.67 (SHMC) (Made in korea),-8.0,-6.25,-2.0,0.0,70,380,من القاهرة
انتي,1.67 (SHMC) (Made in korea),-10.0,-8.25,-2.0,0.0,70,400,من القاهرة
انتي,1.67 (SHMC) (Made in korea),-12.0,-10.25,-2.0,0.0,70,430,من القاهرة
انتي,1.67 (SHMC) (Made in korea),-14.0,-12.25,-2.0,0.0,70,800,من القاهرة
انتي,1.67 (SHMC) (Made in korea),-16.0,-14.25,-2.0,0.0,70,850,من القاهرة
انتي,1.67 (SHMC) (Made in korea),-18.0,-16.25,-2.0,0.0,70,900,من القاهرة
انتي,1.67 (SHMC) (Made in korea),-20.0,-18.25,-2.0,0.0,70,950,من القاهرة
انتي,1.67 (SHMC) (Made in korea),-6.0,-3.0,-4.0,-2.25,70,450,متوفر لدينا
انتي,1.67 (SHMC) (Made in korea),-8.0,-6.25,-4.0,-2.25,70,470,متوفر لدينا
انتي,1.67 (SHMC) (Made in korea),-10.0,-8.25,-4.0,-2.25,70,490,متوفر لدينا
انتي,1.67 (SHMC) (Made in korea),-12.0,-10.25,-4.0,-2.25,70,750,متوفر لدينا
انتي,1.67 (SHMC) (Made in korea),-14.0,-12.25,-4.0,-2.25,70,850,من القاهرة
انتي,1.67 (SHMC) (Made in korea),-16.0,-14.25,-4.0,-2.25,70,950,من القاهرة
انتي,1.67 (SHMC) (Made in korea),-18.0,-16.25,-4.0,-2.25,70,1050,من القاهرة
انتي,1.67 (SHMC) (Made in korea),-20.0,-18.25,-4.0,-2.25,70,1050,من القاهرة
انتي,1.67 (SHMC) (Made in korea),-6.0,-4.25,-6.0,-4.25,70,900,من القاهرة
انتي,1.67 (SHMC) (Made in korea),-8.0,-6.25,-6.0,-4.25,70,900,من القاهرة
انتي,1.67 (SHMC) (Made in korea),-10.0,-8.25,-6.0,-4.25,70,1000,من القاهرة
انتي,1.67 (SHMC) (Made in korea),-12.0,-10.25,-6.0,-4.25,70,1100,من القاهرة
Blue Cut,B.V bluecut 1.61 (Made in korea),-4.0,0.0,-2.0,0.0,70,220,متوفر لدينا
Blue Cut,B.V bluecut 1.61 (Made in korea),-6.0,-4.25,-2.0,0.0,70,240,متوفر لدينا
Blue Cut,B.V bluecut 1.61 (Made in korea),-8.0,-6.25,-2.0,0.0,70,250,متوفر لدينا
Blue Cut,B.V bluecut 1.61 (Made in korea),-10.0,-8.25,-2.0,0.0,70,260,متوفر لدينا
Blue Cut,B.V bluecut 1.61 (Made in korea),-4.0,0.0,-4.0,-2.25,70,300,متوفر لدينا
Blue Cut,B.V bluecut 1.61 (Made in korea),-6.0,-4.25,-4.0,-2.25,70,320,متوفر لدينا
Blue Cut,B.V bluecut 1.61 (Made in korea),-8.0,-6.25,-4.0,-2.25,70,380,متوفر لدينا
Blue Cut,B.V bluecut 1.61 (Made in korea),-6.0,0.0,-6.0,-4.25,70,550,من القاهرة
Blue Cut,B.V bluecut 1.61 (Made in korea),0.0,4.0,0.0,2.0,65,240,متوفر لدينا
Blue Cut,B.V bluecut 1.61 (Made in korea),4.25,6.0,0.0,2.0,60,280,متوفر لدينا
Blue Cut,B.V bluecut 1.61 (Made in korea),6.25,8.0,0.0,2.0,60,360,من القاهرة
Blue Cut,B.V bluecut 1.61 (Made in korea),8.25,10.0,0.0,2.0,60,480,من القاهرة
Blue Cut,B.V bluecut 1.61 (Made in korea),10.25,12.0,0.0,2.0,60,550,من القاهرة
Blue Cut,B.V bluecut 1.61 (Made in korea),0.0,4.0,2.25,4.0,65,300,من القاهرة
Blue Cut,B.V bluecut 1.61 (Made in korea),4.25,6.0,2.25,4.0,60,370,من القاهرة
Blue Cut,B.V bluecut 1.61 (Made in korea),6.25,8.0,2.25,4.0,60,550,من القاهرة
Blue Cut,B.V bluecut 1.61 (Made in korea),0.0,3.0,4.25,6.0,60,600,من القاهرة
Blue Cut,B.V bluecut 1.61 (Made in korea),0.25,1.75,-2.0,-0.5,65,250,متوفر لدينا
Blue Cut,B.V bluecut 1.61 (Made in korea),0.25,3.75,-4.0,-2.25,65,300,متوفر لدينا
Blue Cut,B.V bluecut 1.61 (Made in korea),0.25,5.75,-6.0,-4.25,65,600,من القاهرة
Blue Cut,1.67 SHMC Bluecut (Made in korea),-6.0,-3.0,-2.0,0.0,70,440,من القاهرة
Blue Cut,1.67 SHMC Bluecut (Made in korea),-8.0,-6.25,-2.0,0.0,70,460,من القاهرة
Blue Cut,1.67 SHMC Bluecut (Made in korea),-10.0,-8.25,-2.0,0.0,70,480,من القاهرة
Blue Cut,1.67 SHMC Bluecut (Made in korea),-12.0,-10.25,-2.0,0.0,70,510,من القاهرة
Blue Cut,1.67 SHMC Bluecut (Made in korea),-14.0,-12.25,-2.0,0.0,70,880,من القاهرة
Blue Cut,1.67 SHMC Bluecut (Made in korea),-16.0,-14.25,-2.0,0.0,70,930,من القاهرة
Blue Cut,1.67 SHMC Bluecut (Made in korea),-18.0,-16.25,-2.0,0.0,70,980,من القاهرة
Blue Cut,1.67 SHMC Bluecut (Made in korea),-20.0,-18.25,-2.0,0.0,70,1030,من القاهرة
Blue Cut,1.67 SHMC Bluecut (Made in korea),-22.0,-20.25,0.0,0.0,70,1080,من القاهرة
Blue Cut,1.67 SHMC Bluecut (Made in korea),-6.0,-3.0,-4.0,-2.25,70,530,متوفر لدينا
Blue Cut,1.67 SHMC Bluecut (Made in korea),-8.0,-6.25,-4.0,-2.25,70,550,متوفر لدينا
Blue Cut,1.67 SHMC Bluecut (Made in korea),-10.0,-8.25,-4.0,-2.25,70,570,متوفر لدينا
Blue Cut,1.67 SHMC Bluecut (Made in korea),-12.0,-10.25,-4.0,-2.25,70,830,متوفر لدينا
Blue Cut,1.67 SHMC Bluecut (Made in korea),-14.0,-12.25,-4.0,-2.25,70,930,من القاهرة
Blue Cut,1.67 SHMC Bluecut (Made in korea),-16.0,-14.25,-4.0,-2.25,70,1030,من القاهرة
Blue Cut,1.67 SHMC Bluecut (Made in korea),-8.0,-6.25,-6.0,-4.25,70,980,من القاهرة
Blue Cut,1.67 SHMC Bluecut (Made in korea),-10.0,-8.25,-6.0,-4.25,70,1080,من القاهرة
Blue Cut,1.67 SHMC Bluecut (Made in korea),-12.0,-10.25,-6.0,-4.25,70,1180,من القاهرة
Blue Cut,1.67 SHMC Bluecut (Made in korea),3.0,4.0,0.0,2.0,65,550,من القاهرة
Blue Cut,1.67 SHMC Bluecut (Made in korea),4.25,6.0,0.0,2.0,65,800,من القاهرة
Blue Cut,1.67 SHMC Bluecut (Made in korea),6.25,8.0,0.0,2.0,60,1000,من القاهرة
Blue Cut,1.67 SHMC Bluecut (Made in korea),8.25,10.0,0.0,2.0,60,1300,من القاهرة
Blue Cut,1.67 SHMC Bluecut (Made in korea),3.0,6.0,2.25,4.0,60,1000,من القاهرة
فوتوبراون,1.61 Blue Cut Brown Smart Lens (Made in Korea),-4.0,0.0,-2.0,0.0,70,475,من القاهرة
فوتوبراون,1.61 Blue Cut Brown Smart Lens (Made in Korea),-6.0,-4.25,-2.0,0.0,70,525,من القاهرة
